Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.02     47.58     0.01                             LinkStateUpdateVisitor::isTimerBased() const
  0.02     47.59     0.01                             Flow::getRequestedCapacity() const
  0.02     47.60     0.01                             Flow::release() const
  0.02     47.61     0.01                             Flow::allocate() const
  0.02     47.62     0.01                             Link::getCapacity() const
  0.02     47.63     0.01                             Link::getAvailableCapacity() const
  0.02     47.64     0.01                             Link::print(std::ostream&) const
  0.02     47.65     0.01                             Topology::getRandomTorNode(RandomVar*) const
  0.02     47.66     0.01                             Topology::link(int const&, int const&) const
  0.02     47.67     0.01                             Topology::print(std::ostream&) const
  0.02     47.68     0.01                             __gnu_cxx::new_allocator<int*>::max_size() const
  0.02     47.69     0.01                             std::_Deque_iterator<int, int const&, int const*>::operator*() const
  0.02     47.70     0.01                             std::_Deque_iterator<int, int&, int*>::operator[](long) const
  0.02     47.71     0.01                             std::deque<int, std::allocator<int> >::end() const
  0.02     47.72     0.01                             std::deque<int, std::allocator<int> >::operator[](unsigned long) const
  0.02     47.73     0.01                             std::_Rb_tree<int, std::pair<int const, Link*>, std::_Select1st<std::pair<int const, Link*> >, std::less<int>, std::allocator<std::pair<int const, Link*> > >::size() const
  0.02     47.74     0.01                             std::_Rb_tree<int, std::pair<int const, Link*>, std::_Select1st<std::pair<int const, Link*> >, std::less<int>, std::allocator<std::pair<int const, Link*> > >::_M_begin() const
  0.02     47.75     0.01                             std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::begin() const
  0.02     47.76     0.01                             std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::_M_begin() const
  0.02     47.77     0.01                             std::allocator<double>::allocator(std::allocator<double> const&)
  0.02     47.78     0.01                             std::_Iter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, true>::_S_base(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.02     47.79     0.01                             std::_Iter_base<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, true>::_S_base(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.02     47.80     0.01                             std::_Iter_base<std::_Deque_iterator<int, int const&, int const*>, false>::_S_base(std::_Deque_iterator<int, int const&, int const*>)
  0.02     47.81     0.01                             std::_Deque_base<int, std::allocator<int> >::_M_allocate_map(unsigned long)
  0.02     47.82     0.01                             std::_Deque_base<int, std::allocator<int> >::_M_destroy_nodes(int**, int**)
  0.02     47.83     0.01                             std::_Deque_base<int, std::allocator<int> >::_M_initialize_map(unsigned long)
  0.02     47.84     0.01                             std::_Deque_base<int, std::allocator<int> >::_M_deallocate_node(int*)
  0.02     47.85     0.01                             std::_Deque_iterator<int, int&, int*> std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<std::_Deque_iterator<int, int const&, int const*>, std::_Deque_iterator<int, int&, int*> >(std::_Deque_iterator<int, int const&, int const*>, std::_Deque_iterator<int, int const&, int const*>, std::_Deque_iterator<int, int&, int*>)
  0.02     47.86     0.01                             std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.02     47.87     0.01                             std::_Deque_iterator<std::string, std::string&, std::string*>::_Deque_iterator(std::_Deque_iterator<std::string, std::string&, std::string*> const&)
  0.02     47.88     0.01                             std::_Deque_iterator<int, int const&, int const*>::operator+=(long)
  0.02     47.89     0.01                             std::_Deque_iterator<int, int&, int*>::_M_set_node(int**)
  0.02     47.90     0.01                             std::_Deque_iterator<int, int&, int*>::_Deque_iterator()
  0.02     47.91     0.01                             std::_Deque_iterator<int, int&, int*>::operator+=(long)
  0.02     47.92     0.01                             std::_Deque_iterator<int, int&, int*>::operator++()
  0.02     47.93     0.01                             std::_Deque_iterator<std::string, std::string&, std::string*> std::__uninitialized_copy<false>::__uninit_copy<std::_Deque_iterator<std::string, std::string const&, std::string const*>, std::_Deque_iterator<std::string, std::string&, std::string*> >(std::_Deque_iterator<std::string, std::string const&, std::string const*>, std::_Deque_iterator<std::string, std::string const&, std::string const*>, std::_Deque_iterator<std::string, std::string&, std::string*>)
  0.02     47.94     0.01                             std::_Deque_iterator<int, int&, int*> std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<std::_Deque_iterator<int, int&, int*> >, std::_Deque_iterator<int, int&, int*> >(std::move_iterator<std::_Deque_iterator<int, int&, int*> >, std::move_iterator<std::_Deque_iterator<int, int&, int*> >, std::_Deque_iterator<int, int&, int*>)
  0.02     47.95     0.01                             std::map<double, unsigned long, std::less<double>, std::allocator<std::pair<double const, unsigned long> > >::operator[](double const&)
